round,id,nest.id,repeat,treatment,eggs,nestlings,hatchingsuccess,fledglings,fledgingsuccess,fledged at least one,Failure Stage ,intensityincludingeclosed,intensity,notes,hatch date,failure date,renest date,time to renest,nesting length,hatchdate,rain,ndvi,ndvi date,difference,day of season
1,7,7.1,0,W,2,2,1,1,0.5,1,0,92,92,,,,,,,3/22/15,102.8,0.660015789,3/22/15,0,17
1,77,77.1,0,P,3,3,1,1,0.333333333,1,0,0,0,,,,,,,3/7/15,67.3,0.488053333,3/6/15,1,2
1,20,20.1,0,W,4,3,0.75,3,1,1,0,31,31,,,,,,,3/9/15,67.3,0.488053333,3/6/15,3,4
1,85,85.1,0,W,4,4,1,2,0.5,1,0,8,8,,,,,,,3/9/15,67.3,0.488053333,3/6/15,3,4
1,111,111.1,0,P,3,2,0.666666667,1,0.5,1,0,8,0,all eclosed,,,,,,3/11/15,67.3,0.488053333,3/6/15,5,6
1,122,122.1,0,W,3,3,1,0,0,0,2,23,23,,,,,,,3/11/15,67.3,0.488053333,3/6/15,5,6
1,129,129.1,0,W,3,2,0.666666667,0,0,0,3,47,47,,,,,,,3/11/15,67.3,0.488053333,3/6/15,5,6
1,140,140.1,0,W,4,3,0.75,2,0.666666667,1,0,48,48,,,,,,,3/11/15,67.3,0.488053333,3/6/15,5,6
1,90,90.1,0,P,3,1,0.333333333,1,1,1,0,0,0,,,,,,,3/12/15,67.3,0.488053333,3/6/15,6,7
1,42,42.1,0,W,3,3,1,0,0,0,3,50,50,, ,,,,,3/12/15,67.3,0.488053333,3/6/15,6,7
1,25,25.1,0,P,4,4,1,3,0.75,1,0,6,0,all eclosed,,,,,,3/13/15,67.3,0.488053333,3/6/15,7,8
1,100,100.1,0,P,3,3,1,3,1,1,0,7,0,another older nest found under nest ,,,,,,3/14/15,67.3,0.488053333,3/6/15,8,9
1,76,76.1,0,W,4,4,1,0,0,0,2,40,40,,,,,,,3/14/15,67.3,0.488053333,3/6/15,8,9
1,93,93.1,0,W,4,3,0.75,0,0,0,1,39,39,,,,,,,3/16/15,69.8,0.561963793,3/24/15,-8,11
1,88,88.1,0,P,3,3,1,2,0.666666667,1,0,0,0,,,,,,,3/17/15,69.8,0.561963793,3/26/15,-8,13
1,132,132.1,0,W,4,4,1,1,0.25,1,0,69,69,plus 209 eclosed in nest ,,,,,,3/17/15,69.8,0.561963793,3/26/15,-8,13
1,59,59.1,0,P,4,2,0.5,2,1,1,0,7,0,all eclosed,,,,,,3/5/15,67.3,0.561963793,3/13/15,-8,0
1,89,89.1,0,P,4,4,1,3,0.75,1,0,3,3,,,,,,,3/5/15,67.3,0.561963793,3/13/15,-8,0
1,138,138.1,1,P,3,3,1,2,0.666666667,1,0,4,4,,21-Mar-15,5-Apr-15,4/27/15,22,15,3/22/15,102.8,0.660015789,3/22/15,0,17
1,98,98.1,1,W,4,4,1,0,0,0,3,100,100,,5-Mar-15,16-Mar-15,4/20/15,35,11,3/6/15,67.3,0.488053333,3/6/15,0,1
1,2,2.1,1,P,4,3,0.75,1,0.333333333,1,0,67,0,All eclosed or unviable,7-Mar-15,22-Mar-15,4/15/15,24,15,3/8/15,67.3,0.488053333,3/6/15,2,3
1,52,52.1,1,P,3,3,1,2,0.666666667,1,0,5,4,,10-Mar-15,25-Mar-15,4/21/15,27,15,3/11/15,67.3,0.488053333,3/6/15,5,6
1,74,74.1,1,P,4,4,1,2,0.5,1,0,3,3,,10-Mar-15,25-Mar-15,4/21/15,27,15,3/11/15,67.3,0.488053333,3/6/15,5,6
