year,nest,yearnest,rain,round,treatment,age,nestlings,fledglings,fledged at least 1,intensity,vidID,allopreening,begging,calm,fly,sanitation,standing at rim,standing in nest,feeding nestlings ,Inserted food ,sitting ,out of sight,preening,agitation ,adult ate food ,Grand Total,Fly,adult ate food ,vid sec,feed sec,sec present,percent feedpres,NDVI,vid date,adults,first rnd
2015,100,2015-100,67.3,1,P,3,4,3,1,0,2015-100-2,9.2,5.3,73.6,,0.3,4.3,,1.2,0,29.1,55.2,2.8,1.3,,182.3,,,11658.8442,139.9061304,5223.162203,2.678571429,0.660015789,3/15/15,3,1
2015,100,2015-100,69.8,1,P,4,4,3,1,0,2015-100-3,2.9,15.2,83.4,,0.3,6.5,,1.8,0,,88.4,,0.5,0,199,,,5747.647059,103.4576471,666.7270588,15.51724138,0.660015789,3/16/15,3,1
2015,108,2015-108,67.3,1,W,4,1,0,0,43,2015-108-1,2.1,4.6,43.8,,,0.8,,0,0,15.2,45.3,0.9,0.6,,113.3,,,9479.869757,0,5185.488757,0,0.660015789,3/15/15,2,1
2015,111,2015-111,69.8,1,P,2,2,1,1,0,2015-111-1,10.4,8.5,87.5,,0.3,3.2,,0.5,0,0.2,85.3,,3.9,,199.8,,,8542.329426,42.71164713,1255.722426,3.401360544,0.660015789,3/16/15,2,1
2015,117,2015-117,102.8,1,P,4,2,0,0,0,2015-117-1,0.2,,97.1,,,0.5,,,,,96.8,,0.4,,195,,,4802.826446,0,153.6904463,0,0.660015789,3/19/15,3,1
2015,138,2015-138,124.5,1,P,5,2,2,1,4,2015-138-1,1.4,4.9,75.2,,0,2.3,,0.6,0,31,62.3,,0.1,,177.8,,,7198.784912,43.19270947,2713.941912,1.591511936,0.660015789,3/24/15,2,1
2015,138,2015-138,124.5,1,P,7,2,2,1,4,2015-138-2,1.3,6.8,91.5,,0.2,1.5,,0.7,0,0.2,95.9,,1.6,,199.7,,,8847.695516,61.93386861,362.7555162,17.07317073,0.660015789,3/26/15,2,1
2015,2,2015-2,67.3,1,P,7,3,1,1,0,2/2/15,11.8,11.2,85.6,,0.2,4.5,0.3,2,0,0.4,80.2,,2.8,,199,,,9320.810474,186.4162095,1845.520474,10.1010101,0.488053333,3/13/15,3,1
2015,20,2015-20,67.3,1,W,6,3,3,1,31,2015-20-1,23.2,11.5,88.3,0,0.2,4.1,,2.1,0,4.6,65.8,,0.1,,199.9,1,,5188.966565,108.9682979,1774.626565,6.140350877,0.488053333,3/13/15,2,1
2015,20,2015-20,67.3,1,W,7,3,3,1,31,2015-20-2,32.5,20,67.4,,0.1,2.1,,0.5,0,5.8,58.7,,3,,190.1,,,5931.872232,29.65936116,2449.863232,1.210653753,0.488053333,3/14/15,2,1
