order,sheet number ,date,local,species,nest,replicate nest,round,treatment,visit,age,band,nestlingID,colors,fledged,bill,tarsus,wingchord,mass,lesions,bknares,hg,hct1,hct2 ,hct,,,,,,
106,10,13-Mar-15,UR,GAMO,89,1,1,P,3,11,DC423,89-L,BlGSBl,1,8.8,34.06,22.39,43.43,0,0,11.6,19.32,54.36,0.355408389,,,,,,
107,10,13-Mar-15,UR,GAMO,89,1,1,P,3,11,DC422,89-B,GSRY,1,8.63,34.82,20.84,41.66,0,0,10.1,17.56,56.55,0.310521662,,,,,,
221,20,17-Mar-15,Gondor,GAMO,20,1,1,W,3,10,DC497,20-R,BlBlSR,1,7.98,34.97,15.19,41.01,0,1,11,20.59,57.9,0.355613126,,,,,,
235,21,19-Mar-15,RIV,GAMO,90,1,1,P,3,10,DC489,90-R,GYSW,1,7.92,33.69,17.03,40,0,0,11.2,21.99,61.94,0.355020988,,,,,,
172,15,15-Mar-15,Boardwalk,GAMO,77,1,1,P,3,11,DC474,77-R,GGyRS,1,8.89,35.79,23.23,39.28,0,0,11.1,15,50.64,0.296208531,,,,,,
265,24,21-Mar-15,Gondor,GAMO,25,1,1,P,3,11,DC525,25-B,SWBkGy,1,8.32,35.89,16.45,38.9,0,0,8.4,11.57,39.76,0.290995976,,,,,,
264,24,21-Mar-15,Gondor,GAMO,25,1,1,P,3,10,DC524,25-L,SGyYBk,1,7.9,35.87,16.34,38.8,0,0,11.7,17.03,49.39,0.344806641,,,,,,
252,23,20-Mar-15,TT,GAMO,74,1,1,P,3,11,DC514,74-R,OGWS,0,8.1026,35.1028,21.209,38.05,0,0,8.1,19.32,46.32,0.417098446,,,,,,
299,26.5,27-Mar-15,LR,GAMO,88,1,1,P,3,10,DC539,88-L,GyGGS,1,8.21,32.81,17.89,37.43,0,0,10.6,21.39,62.55,0.341966427,,,,,,
298,26.5,27-Mar-15,LR,GAMO,88,1,1,P,3,11,DC540,88-R,BlBkWS,1,7.61,34.91,16.38,37.37,0,0,9.3,16.14,52.55,0.307136061,,,,,,
127,12,13-Mar-15,beach,GAMO,59,1,1,P,3,11,DC438,59-R,GSGyGy,1,8.01,32.87,18.91,36.61,0,0,10.1,14.43,50.59,0.285234236,,,,,,
244,22,19-Mar-15,Rohan,GAMO,111,1,1,P,3,11,DC508,111-R,YGYS,0,7.84,33.31,19.01,36.5,0,0,9,16.41,54.14,0.303103066,,,,,,
105,10,13-Mar-15,UR,GAMO,89,1,1,P,3,11,DC425,89-R,GBkGyS,0,8.75,31.97,19.63,36.43,0,0,13,24.25,60.52,0.400693985,,,,,,
128,12,13-Mar-15,beach,GAMO,59,1,1,P,3,11,DC464,59-B,SYGO,1,8.51,32.39,18.58,35.91,0,0,9.8,6.48,22.29,0.290713324,,,,,,
247,22,19-Mar-15,LR,GAMO,42,1,1,W,3,11,DC513,42-N,SGyBlGy,0,7.92,33.99,17.11,35.8,0,0,6.4,14.31,55.88,0.256084467,,,,,,
245,22,19-Mar-15,AZ,GAMO,111,1,1,P,3,10,DC509,111-L,RBlBlS,1,7.94,33.91,17.93,35.1,0,0,10,20.74,61.44,0.337565104,,,,,,
