year,Date.Band,date,local,species,band,recap,colors,sex,CP.BP,bill.length,tarsus,chord,mass,nest,present.2016,hct1,hct2,hct,treatment,capture.number,date.of.chicks,hatch.date,Blood.OD,phil.215cal,phil.216cal,klh.215cal,klh.216cal,igg,pox.1,poxnotes,nest1egg,nest1nestling,nest1fledge,nest2egg,nest2nestling,nest2fledge,intensity1,intensity2,scaledmass,repeat.,Date.second.nest,,second.clutch.age,Gravid,total.nests,total.eggs,total.nestlings,total.fledglings,nestage
2016,28-Jan-16-DC405,1/28/16,Rohan ,GAMO,DC405,1,BkSRR,M,CP2,15.82,36.73,110,44.9,92,,28.59,63.51,0.45,P,1,11,1/18/16,0.044711538,0.126135006,0.064676056,0.671754702,1.034091869,0.859325382,0.024833333,small sample,4,3,3,NA,NA,NA,0,NA,40.17107019,,,,,,,,,,26
2016,26-Jan-16-DC067,1/26/16,Gondor,GAMO,DC067,1,GySBlO,M,,15.9,35.63,111,47.9,25,,22.84,50.03,0.457,P,1,1,1/26/16,0.007333333,0.145133126,0.054333333,0.372108175,0.561333333,2.025507428,0.0305,small sample,5,3,3,NA,NA,NA,0,NA,45.52822671,,,,,,,,,,16
2016,19-Feb-16-DC705,2/19/16,Beach ,GAMO,DC705,0,SYBkR,M,CP2,14.66,35.13,113,44,59,,29.4,68.39,0.43,P,1,11,2/9/16,0.058928571,0.163181846,0.1070892,1.698996107,2.269361877,1.44903473,0.059590909,0,4,3,2,NA,NA,NA,0,NA,43.01420164,,,,,,,,,,26
2016,07-Feb-16-DC448,2/7/16,Rohan,GAMO,DC448,1,SOBkG,M,CP3,15.14,34.47,108.5,44,51,,26.6,62.17,0.428,P,2,10,1/29/16,0.023076923,0.18535693,0.095042254,0.658319607,1.013410032,0.542643632,0.030840909,0,4,3,3,NA,NA,NA,0,NA,44.66869151,,,,,,,,,,25
2016,27-Jan-16-DC643,1/27/16,TT,GAMO,DC643,0,RSYR,F,BP4,14.81,34.92,95,44.4,100,,25.36,58,0.437,P,1,-3,1/31/16,0.010333333,0.194994813,0.073,0.236876463,0.357333333,1.800065676,0.0355,0,3,2,2,NA,NA,NA,0,NA,43.92623196,,,,,,,,,,12
2016,07-Feb-16-DC688,2/7/16,Rohan,GAMO,DC688,0,SOGyGy,M,CP1,14.48,35.49,107.5,40.7,91,,26.87,60.06,0.447,W,1,3,2/5/16,0.106848185,0.21291497,0.139726902,0.22033382,0.29430154,1.281757993,0.022477273,0,3,3,0,NA,NA,NA,22,NA,38.98900739,,,,,,,,,,18
2016,01-Feb-16-DC552,2/1/16,Rohan,GAMO,DC552,1,YWSO,F,BP5,15.38,32.44,104.5,39.7,110,,30.33,64.97,0.467,P,1,13,1/20/16,0.029567308,0.228427419,0.117126761,1.928755206,2.969104752,0.540489335,NA,empty,4,3,3,NA,NA,NA,0,NA,45.47768324,,,,,,,,,,28
2016,01-Feb-16-DC551,2/1/16,Rohan,GAMO,DC551,1,SBkGG,M,CP3,15.02,35.87,102.5,49.4,110,,18.26,46.74,0.391,P,1,13,1/20/16,0.059134615,0.239195042,0.122647887,1.493589234,2.299214995,0.622592011,0.010833333,0,4,3,3,NA,NA,NA,0,NA,46.33084462,,,,,,,,,,28
2016,27-Jan-16-DC461,1/27/16,UR,GAMO,DC461,1,BkSGBl,M,CP3,15.42,35.61,108,47.3,98,,28.45,63.75,0.446,W,1,-2,2/2/16,0.019333333,0.241294952,0.090333333,0.80873867,1.22,2.04978577,0.036833333,0,4,3,0,NA,NA,NA,33,NA,45.00819759,,,,,,,,,,13
2016,10-Feb-16-DC460,2/10/16,UR,GAMO,DC460,1,RGSY,F,BP5,14.81,33.67,103,43.3,98,,20.44,51.08,0.4,W,1,10,,0.001510248,0.244931661,0.160738074,0.738067762,0.985842659,0.892700184,0.010454545,0,4,3,0,NA,NA,NA,33,NA,46.06094067,,,,,,,,,,25
2016,23-Jan-16-DC478,1/23/16,TT,GAMO,DC478,1,BkSBlBk,M,CP3,14.93,NA,104.5,47.4,74,,22.96,51.64,0.445,W,1,0,1/24/16,0.029666667,0.246637275,0.092333333,0.728859154,1.0995,4.019799844,0.0375,0,4,3,0,NA,NA,NA,27,NA,NA,,,,,,,,,,15
2016,23-Jan-16-DC458,1/23/16,UR,GAMO,DC458,1,BkSWW,M,CP2,16.15,35.03,117,46.6,89,,25.53,56.59,0.451,P,1,1,1/23/16,0.014666667,0.259993084,0.097333333,0.684776267,1.033,3.886847016,0.051166667,end of sample,4,4,2,NA,NA,NA,0,NA,45.8151119,,,,,,,,,,16
2016,01-Feb-16-DC664,2/1/16,AZ,GAMO,DC664,0,BlSOG,F,BP5,14.7,32.8,103,36.3,111,,10.27,56.69,NA,W,2,13,1/20/16,0.006490385,0.269190562,0.138028169,0.405674303,0.624490602,1.48143866,0.041818182,0,4,3,1,NA,NA,NA,107,NA,40.67957288,,,,,,,,,,28
2016,12-Feb-16-DC701,2/12/16,Mordor,GAMO,DC701,0,BlOBlS,F,BP5,14.3,33.46,104,40.8,52,,19.16,51.09,0.375,P,1,10,2/3/16,0.002642934,0.299352092,0.196451853,1.192379927,1.592670835,0.900227637,0.032409091,0,4,4,0,NA,NA,NA,0,NA,43.94528218,,,,,,,,,,25
